,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs
392,1720,1721,NCT00190476,Elderly NSCLC/D vs DP (JCOG0207),,Terminated,No Results Available,Non-small-cell Lung Cancer,Drug: Weekly docetaxel alone|Drug: Weekly docetaxel + cisplatin combination,overall survival|Toxicity|Progression-free survival|Response rate|Symptom score,"Japan Clinical Oncology Group|Ministry of Health, Labour and Welfare, Japan",All,70 Years and older   (Older Adult),Phase 3,230.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,JCOG0207|C000000146,April 2003,,April 2007,"September 19, 2005",,"September 12, 2016","Aichi Cancer Center Hospital, Nagoya,Chikusa-ku,Kanokoden,1-1, Aichi, Japan|Aichi Cancer Center,Aichi Hospital, Okazaki,Kake-machi,Kuriyado,18, Aichi, Japan|National Cancer Center Hospital East, Kashiwa,Kashiwanoha,6-5-1, Chiba, Japan|National Hospital Organization Shikoku Cancer Center, Matsuyama,Horinouchi,13, Ehime, Japan|Kyushu University Hospital, Higashi-ku,Maidashi,3-1-1, Fukuoka, Japan|Gifu Municipal Hospital, Gifu,Kashima-cho,7-1, Gifu, Japan|Gunma Prefectural Cancer Center, Ota,Takabayashi-nishi-cho,617-1, Gunma, Japan|National Nishigunma Hospital, Shibukawa,Kanai,2854, Gunma, Japan|National Hospital Organization, Dohoku National Hospital, Asahikawa,Hanasaki,7-4048, Hokkaido, Japan|National Hospital Organization Hokkaido Cancer Center, Sapporo,Shiroishi-ku,Kikusui,4-2-3-54, Hokkaido, Japan|Hyogo Medical Center for Adults, Akashi,Kitaouji-cho,13-70, Hyogo, Japan|Hyogo College of Medicine, Nishinomiya,Mukogawa-cho,1-1, Hyogo, Japan|Ibaraki Kenritsu Chuo Hospital & Cancer Center, Nishi-ibarakigun,Tomobemachi,Koibuchi,6528, Ibaraki, Japan|Kanagawa Cancer Center, Yokohama,Asahi-ku,Nakao,1-1-2, Kanagawa, Japan|Yokohama Mucipical Citizen's Hospital, Yokohama,Hodogaya-ku,Okazawa-cho,56, Kanagawa, Japan|Kumamoto Regional Medical Center Hospital, Kumamoto,Honjo,5-16-10, Kumamoto, Japan|Niigata Cancer Center Hospital, Niigata,Kawagishi-cho, 2-15-3, Niigata, Japan|Osaka Prefectural Medical Center for Respiratory and Allergic Disease, Habikino,Habikino,3-7-1, Osaka, Japan|Osaka Medical Center for Cancer and Cardiovascular Diseases, Osaka,Higashinari-ku,Nakamichi,1-3-3, Osaka, Japan|Osaka City General Hospital, Osaka,Miyakojima-ku,Miyakojimahondori,2-13-22, Osaka, Japan|Kinki University School of Medicine, Osaka-Sayama,Ohno-higashi,377-2, Osaka, Japan|National Hospital Organization Kinki-Chuo Chest Medical Center, Sakai,Nagasone,1180, Osaka, Japan|National Hospital Organization Toneyama National Hospital, Toyonaka,Toneyama,5-1-1, Osaka, Japan|Saitama Cancer Center, Kita-adachi,Ina,Komuro,818, Saitama, Japan|Sizuoka Cancer Center, Sunto-gun,Nagaizumi-cho,Shimonagakubo,1007, Shizuoka, Japan|Tochigi Cancer Center, Utsunomiya,Yohnan,4-9-13, Tochigi, Japan|National Cancer Center Hospital, Chuo-ku,Tsukiji,5-1-1, Tokyo, Japan|International Medical Center of Japan, Shinjuku-ku,Toyama,1-21-1, Tokyo, Japan|Yamagata Prefectural Central Hospital, Yamagata,Aoyagi,1800, Yamagata, Japan",,https://ClinicalTrials.gov/show/NCT00190476,2,weekly docetaxel alone,weekly docetaxel + cisplatin combination,1,1,False,False,False,False,weekly docetaxel alone,weekly docetaxel + cisplatin combination,1,1
397,1735,1736,NCT03663205,A Study Evaluating the Efficacy and Safety of Tislelizumab Versus Chemotherapy in Advanced Non-Squamous NSCLC,,"Active, not recruiting",No Results Available,Non-Small Cell Lung Cancer,"Drug: Tislelizumab,Cisplatin or Carboplatin ,Pemetrexed|Drug: Cisplatin or Carboplatin,Pemetrexed","Progression Free Survival (PFS) assessed by Independent Review Committee(IRC)|Objective Response Rate (ORR) assessed by Independent Review Committee(IRC)|Duration Of Response (DOR) assessed by Independent Review Committee(IRC)|Overall Survival|Progression Free Survival (PFS) as assessed by the investigator|Objective response rate (ORR) as assessed by the investigator|Duration of response (DOR) as assessed by the investigator|health-related quality of life (HRQoL)- measured using the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-Lung Cancer (EORTC QLQ LC13) as presented in patient-reported outcomes|health-related quality of life (HRQoL)- measured using the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire-Lung Cancer Core 30 (EORTC QLQ-C30) as presented in patient-reported outcomes|Incidence and severity of treatment-emergent AEs (TEAEs) graded according to National Cancer Institute-Common Terminology Criteria for Adverse Events (NCI-CTCAE), v4.03|PD-L1 expression by IHC",BeiGene,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,334.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BGB-A317-304|CTR20180032,"July 23, 2018","June 21, 2020","September 23, 2020","September 10, 2018",,"November 4, 2019","Anhui Provincial Hospital, Hefei, Anhui, China|Beijing Hospital, Beijing, Beijing, China|Cancer Hospital Chinese Academy of Medical Sciences, Beijing, Beijing, China|Peking Union Medical College Hospital, Beijing, Beijing, China|Chinese PLA General Hospital, Beijing, Beijing, China|Beijing Cancer Hospital, Beijing, Beijing, China|The second Affiliated Hospital of Chongqing Medical University, Chongqing, Chongqing, China|The Third Affiliated Hospital (Institute of Field Surgery) of PLA Army Medical University, Chongqing, Chongqing, China|Chongqing Three Gorges Central Hospital, Chongqing, Chongqing, China|Fujian Provincial Cancer Hospital, Fuzhou, Fujian, China|The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, China|Cancer Hospital Of Shantou University Medical College, Shantou, Guangdong, China|Affiliated Hospital of Guilin Medical University, Guilin, Guangxi, China|The People's Hospital Of Guangxi Zhuang Autonomous Region, Nanning, Guangxi, China|Cancer Center of Guangzhou Medical University, Guangzhou, Guangzhou, China|Nanfang Hospital,Southern Medical University, Guangzhou, Guangzhou, China|Guizhou Cancer Hospital, Guiyang, Guizhou, China|Affiliated Hospital of Zunyi Medical College, Zunyi, Guizhou, China|Hainan General Hospital, Haikou, Hainan, China|Harbin Medical University Cancer Hospital, Harbin, Heilongjiang, China|Henan Cancer Hospital, Zhengzhou, Henan, China|the First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China|Hubei Cancer Hospital, Wuhan, Hubei, China|Hunan Cancer Hospital, Changsha, Hunan, China|Changsha Central Hospital, Changsha, Hunan, China|Jiangsu Province Hospital, Nanjing, Jiangsu, China|The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China|Xuzhou Central Hospital, Xuzhou, Jiangsu, China|The First Hospital of Jilin University, Changchun, Jilin, China|The First Hospital of China Medical University, Shenyang, Liaoning, China|Liaoning Cancer Hospital, Shenyang, Liaoning, China|Weifang People's Hospital, Huaifang, Shandong, China|Qilu Hospital of Shandong University, Jinan, Shandong, China|Jinan Central Hospital, Jinan, Shandong, China|Jinan Military General Hospital, Jinan, Shandong, China|Shandong Cancer Hospital, Jinan, Shandong, China|Shanghai Chest Hospital, Shanghai, Shanghai, China|Fudan Universuty Shanghai Cancer Center, Shanghai, Shanghai, China|The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shanxi, China|West China Hospital,Sichuan University, Chengdu, Sichuan, China|General Hospital, Tianjin Medical University, Tianjin, Tianjin, China|Tianjin Medical University Cancer Institute & Hospital, Tianjin, Tianjin, China|Yunnan Cancer Hospital, &The Third Affiliated Hospital of Kunming Medical University&Yunnan Cancer Center &Yunnan Cancer Center, Kunming, Yunnan, China|The First Affiliated Hospital of Medical School of Zhejiang University, Hangzhou, Zhejiang, China|Hangzhou First People's Hospital, Hangzhou, Zhejiang, China|The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China|Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China|Shanghai Chest Hospital, Shanghai, China",,https://ClinicalTrials.gov/show/NCT03663205,2,"tislelizumab,cisplatin or carboplatin ,pemetrexed","cisplatin or carboplatin,pemetrexed",1,1,False,False,False,False,"tislelizumab,cisplatin or carboplatin ,pemetrexed","cisplatin or carboplatin,pemetrexed",1,1
400,1748,1749,NCT03732001,A Study of Anlotinib in Combination With Docetaxel Versus Docetaxel Alone in Participants With Advanced NSCLC,ALTER-L024,Recruiting,No Results Available,Non-small Cell Lung Cancer,Drug: Anlotinib combined Docetaxel|Drug: Docetaxel,PFS|OS|ORR|DCR|Safety and Tolerability: Number of Participants with Adverse Events,"China Medical University, China|Shengjing Hospital|The Second Affiliated Hospital of Dalian Medical University|General Hospital of Shenyang Military Region|The People's Hospital of Liaoning Province|Shenyang Chest Hospital|Anshan Tumor Hospital|The Affiliated Zhongshan Hospital of Dalian University|The First People's Hospital of Jingzhou|Benxi Cental Hospital|GEM flower hospital of Liaohe oil field|Panjin Central Hospital",All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,80.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ALTER-L024,"November 8, 2018","November 9, 2019","November 9, 2020","November 6, 2018",,"November 28, 2018","The First Affiliated Hospital of China Medical University, Shenyang, Liaoning, China",,https://ClinicalTrials.gov/show/NCT03732001,2,anlotinib combined docetaxel,docetaxel,1,1,False,False,False,False,anlotinib combined docetaxel,docetaxel,1,1
409,1794,1795,NCT02319577,GEfitinib Plus viNOrelbine in Advanced EGFR Mutated NSCLC. GENOA Trial,,Unknown status,No Results Available,Non Small Cell Lung Cancer,Drug: oral vinorelbine|Drug: Gefitinib,"Progression-free survival (PFS) rate at 6 months|Overall survival (OS) rate at 1 year (1Y-OS), 2 years (2Y-OS), and 3 years (3Y-OS)|Response rate (RR)|Safety profile: Safety will be assessed by medical interview, physical examination, and blood collection for complete blood count on days 1 and 8 and biochemistry","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",All,"18 Years and older   (Adult, Older Adult)",Phase 2,80.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Genoa trial,March 2012,June 2015,December 2015,"December 18, 2014",,"December 18, 2014","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genova, Italy",,https://ClinicalTrials.gov/show/NCT02319577,2,oral vinorelbine,gefitinib,1,1,False,False,False,False,oral vinorelbine,gefitinib,1,1
415,1813,1814,NCT02504489,Docetaxel + Plinabulin Compared to Docetaxel + Placebo in Patients With Advanced NSCLC,DUBLIN-3,Recruiting,No Results Available,Non-Small Cell Lung Cancer,Drug: Docetaxel + Plinabulin (DP)|Drug: Docetaxel (D),Overall Survival|Grade 4 neutropenia|Neutrophil count|docetaxel dose reduction and/or docetaxel dose withheld|Quality of Life (EORTC QLQ-C30)|ORR|PFS|DoR,BeyondSpring Pharmaceuticals Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,554.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,BPI-2358-103,December 2015,October 2019,November 2019,"July 22, 2015",,"June 4, 2019","Ironwood Cancer & Research Centers, Chandler, Arizona, United States|Pacific Cancer Medical Center, Inc., Anaheim, California, United States|Innovative Clinical Research Institute, Whittier, California, United States|Memorial Health Care System, Colorado Springs, Colorado, United States|Cancer Center of Central Connecticut, Plainville, Connecticut, United States|Peachtree Hematoloy-Oncology Consultants, PC, Atlanta, Georgia, United States|Orchard Healthcare Research Inc., Skokie, Illinois, United States|Carle Cancer Center, Urbana, Illinois, United States|Kansas University Medical Center, Westwood, Kansas, United States|University of Louisville-Brown Cancer Center, Louisville, Kentucky, United States|Henry Ford Hospital, Detroit, Michigan, United States|Michigan Center of Medical Research, Farmington Hills, Michigan, United States|Hattiesburg Clinic Hematology/Oncology, Hattiesburg, Mississippi, United States|Central Care Cancer Center, Bolivar, Missouri, United States|Wake Forest Baptist Health, Winston-Salem, North Carolina, United States|University of Cincinnati, Cincinnati, Ohio, United States|Toledo Cancer Center, Toledo, Ohio, United States|Allegheny Health Network, Pittsburgh, Pennsylvania, United States|Cookeville Regional Medical Center Cancer Center, Cookeville, Tennessee, United States|Blacktown Cancer Centre, Blacktown, New South Wales, Australia|Border Medical Oncology Research Unit, East Albury, New South Wales, Australia|Gosford Hospital, Gosford, New South Wales, Australia|Adult Mater Hospital, South Brisbane, Queensland, Australia|Peninsula and South East Oncology, Melbourne, Victoria, Australia|Epworth Hospital, Richmond, Victoria, Australia|Fiona Stanley Hospital, Murdoch, Western Australia, Australia|Perth Oncology/Mount Hospital, Perth, Western Australia, Australia|St John of God Hospital, Subiaco, Subiaco, Western Australia, Australia|Anhui Provincial Hospital, Hefei, Anhui, China|Cancer Hospital Chinese Academy of Medical Science, Beijing, Beijing, China|Beijing Cancer Hospital, Beijing, Beijing, China|The PLA General Hospital, Beijing, Beijing, China|The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, China|Zhongshan Hospital Xiamen University, Xiamen, Fujian, China|Guizhou Provincial Hospital, Guiyang, Guizhou, China|The Fourth Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Affiliated Cancer Hospital of Harbin Medical Unive, Ha'erbin, Heilongjiang, China|Henan Cancer Hospital, Zhengzhou, Henan, China|The Second Xiangya Hospital of Central South Unive, Changsha, Hunan, China|Jiangyin People's Hospital, Jiangyin, Jiangsu, China|Jiangsu Cancer Hospital, Nanjing, Jiangsu, China|Nantong Tumor Hospital, Nantong, Jiangsu, China|Jiangxi Provincial Tumor Hospital, Nanchang, Jiangxi, China|Jilin Province Cancer Hospital, Changchun, Jilin, China|Liaoning Cancer Hospital & Institute, Shenyang, Liaoning, China|The First Affiliated Hospital of Xi'an Jiaotong U, Xi'an, Shaanxi, China|Shandong Cancer Hospital, Jinan, Shangdong, China|527-Linyi Cancer Hospital, Linyi, Shangdong, China|Yantai Yuhuangding Hospital, Yantai, Shangdong, China|Shanghai Chest Hospital, Shanghai Jiaotong Univers, Shanghai, Shanghai, China|The Fifth People's Hospital of Shanghai, Shanghai, Shanghai, China|West China Hospital of Sichuan University, Chendu, Sichuan, China|Tianjin People's Hospital, Tianjin, Tianjin, China|Affiliated Tumor Hospital of Xinjiang Medical Univ, Ürümqi, Xinjiang, China|Sir Run Run Shaw Hospital, Zhejiang University, Hangzhou, Zhejiang, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China|The First Affiliated Hospital, Zhejiang University, Hanzhou, Zhejiang, China",,https://ClinicalTrials.gov/show/NCT02504489,2,docetaxel + plinabulin (dp),docetaxel (d),1,1,False,False,False,False,docetaxel + plinabulin (dp),docetaxel (d),1,1
423,1853,1854,NCT01401192,Pemetrexed/Cisplatin Versus Gemcitabine/Cisplatin According to Thymidylate Synthase Expression,,Unknown status,No Results Available,Non-small Cell Lung Cancer,Drug: Gemcitabine plus cisplatin|Drug: pemetrexed plus cisplatin,predictive value of TS expression|response rate,Samsung Medical Center,All,"18 Years and older   (Adult, Older Adult)",Phase 2,304.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2011-06-006,July 2011,December 2013,,"July 25, 2011",,"July 25, 2011","Samsung Medical Center, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT01401192,2,gemcitabine plus cisplatin,pemetrexed plus cisplatin,1,1,False,False,False,False,gemcitabine plus cisplatin,pemetrexed plus cisplatin,1,1
436,1928,1929,NCT01752023,A Randomized Phase II Study of SUBATM-itraconazole in Patients With Untreated Squamous NSCLC.,NA_00067809,Terminated,Has Results,Non-small Cell Lung Cancer Metastatic,Drug: Cisplatin + Gemcitabine with SUBATM-itraconazole|Drug: Cisplatin + Gemcitabine,Objective Response Rates|Tumor Blood Flow.|Median Time to Progression|Adverse Effects|Itraconazole Exposure Parameters|Tumor Necrosis,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,3.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,J1230|NA_00067809,March 2013,April 2014,April 2014,"December 18, 2012","June 2, 2017","October 17, 2018","Bayview Medical Center at Johns Hopkins, Baltimore, Maryland, United States|Johns Hopkins University, SKCCC, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01752023,2,cisplatin + gemcitabine with subatm-itraconazole,cisplatin + gemcitabine,1,1,False,False,False,False,cisplatin + gemcitabine with subatm-itraconazole,cisplatin + gemcitabine,1,1
439,1934,1935,NCT01204697,A Study of Erlotinib [Tarceva] as Monotherapy or Intermittent Dosing With Docetaxel in Patients With Advanced or Metastatic Non-Small Cell Lung Cancer. (TALISMAN),,Completed,Has Results,Non-Squamous Non-Small Cell Lung Cancer,Drug: docetaxel|Drug: erlotinib [Tarceva],Percentage of Participants Free From Disease Progression or Death at 6 Months|Progression-free Survival (PFS)|Overall Survival (OS)|Percentage of Participants With a Best Overall Response of Complete Response (CR) or Partial Response (PR)|Percentage of Participants With Disease Control|Duration of Response (DoR),Hoffmann-La Roche,All,"18 Years and older   (Adult, Older Adult)",Phase 2,74.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ML21869,November 2010,July 2014,July 2014,"September 17, 2010","November 16, 2015","November 16, 2015","Avellino, Campania, Italy|Napoli, Campania, Italy|Parma, Emilia-Romagna, Italy|Aviano (PN), Friuli-Venezia Giulia, Italy|Roma, Lazio, Italy|Roma, Lazio, Italy|Roma, Lazio, Italy|Cremona, Lombardia, Italy|Milano, Lombardia, Italy|Monza, Lombardia, Italy|Pavia, Lombardia, Italy|Sondalo, Lombardia, Italy|Macerata, Marche, Italy|Lecce, Puglia, Italy|San Giovanni Rotondo, Puglia, Italy|Lido Di Camaiore, Toscana, Italy|Pisa, Toscana, Italy|Pontedera, Toscana, Italy|Treviso, Veneto, Italy|Vicenza, Veneto, Italy",,https://ClinicalTrials.gov/show/NCT01204697,2,docetaxel,erlotinib [tarceva],1,1,False,False,False,False,docetaxel,erlotinib [tarceva],1,1
446,1965,1966,NCT03126799,A Study of Tarceva vs. Avastin+Tarceva for Advanced NSCLC With EGFR m(+),AvaTa,Recruiting,No Results Available,EGFR Positive Non-small Cell Lung Cancer,Drug: Erlotinib plus Bevacizumab|Drug: Erlotinib,PFS|ORR|OS,"National Cancer Center, Korea|Roche Korea co.,Ltd.",All,"19 Years and older   (Adult, Older Adult)",Phase 2,128.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCC-2016-0107,"November 1, 2016","December 31, 2019","December 31, 2020","April 24, 2017",,"June 18, 2018","National Cancer Center, Goyang-Si, Gyeonggi-do, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT03126799,2,erlotinib plus bevacizumab,erlotinib,1,1,False,False,False,False,erlotinib plus bevacizumab,erlotinib,1,1
448,1970,1971,NCT00786331,Pemetrexed +/- Carboplatin as Second Line Treatment in NSCLC,,Unknown status,No Results Available,Advanced Non-Small Cell Lung Cancer,Drug: Pemetrexed|Drug: Pemetrexed plus carboplatin,To compare time to progression between the combination pemetrexed-carboplatin and pemetrexed alone in previously treated patients with locally advanced or metastatic NSCLC|To assess differences in terms of response rate between the combination pemetrexed-carboplatin and pemetrexed alone.|To assess differences in terms of duration of response between the combination pemetrexed-carboplatin and pemetrexed alone.|To assess differences in terms of toxicity between the combination pemetrexed-carboplatin and pemetrexed alone.|To assess differences in terms of survival between the combination pemetrexed-carboplatin and pemetrexed alone.,Gruppo Oncologico Italiano di Ricerca Clinica,All,"18 Years and older   (Adult, Older Adult)",Phase 2,230.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GOIRC 02/2006|EudraCT number 2006-004009-24,July 2007,July 2009,December 2009,"November 6, 2008",,"August 3, 2009","Azienda Ospedaliero-Universitaria Umberto I, Clinica di Oncologia Medica, Ancona, Italy|Azienda Ospedaliera Ospedali Riuniti di Bergamo, UO di Oncologia Medica, Bergamo, Italy|Azienda Istituti Ospitalieri di Cremona, UO di Oncologia Medica, Cremona, Italy|Azienda Sanitaria Ospedaliera S. Croce e Carle, UO di Oncologia Medica, Cuneo, Italy|Ospedale S. Croce, U.O. di Oncologia Medica, Fano, PU, Italy|Azienda Ospedaliera Careggi, UO di Oncologia Medica, Firenze, Italy|EO Ospedali Galliera, SC Oncologia Medica, Genova, Italy|Ospedale Versilia, UO di Oncologia Medica, Lido di Camaiore, LU, Italy|USL 6, Presidio Ospedaliero di Livorno, U.O. di Oncologia MedicaAzienda, Livorno, Italy|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori-IRST, Oncologia Medica, Meldola, FC, Italy|Istituto Nazionale Tumori, SC di Oncologia 2, Milano, Italy|Azienda Ospedaliero-Universitaria di Modena-Policlinico, U.O. di Oncologia Medica ed Ematologia, Modena, Italy|AO S. Gerardo, Nuovo Ospedale S. Gerardo-settore A, Oncologia Medica, Monza, MI, Italy|Azienda Ospedaliero-Universitaria di Parma, UOC di Oncologia Medica, Parma, Italy|Ospedale Silvestrini, S.C. di Oncologia Medica, Perugia, Italy|Arcispedale Santa Maria Nuova, UO di Oncologia Medica, Reggio Emilia, Italy|Azienda Ospedaliera S. Camillo-Forlanini, U.O. di Oncologia Medica, Roma, Italy|Ospedale SS. Annunziata, UO di Oncologia Medica, Sassari, Italy|Azienda Sanitaria Ospedaliera Molinette, U.O. di Oncologia Medica, Torino, Italy|P.O. Treviglio-Caravaggio, U.O. di Oncologia Medica, Treviglio, BG, Italy|Policlinico ""G. B. Rossi""-Borgo Roma, U.O. di Oncologia Medica Clinicizzata, Verona, Italy",,https://ClinicalTrials.gov/show/NCT00786331,2,pemetrexed,pemetrexed plus carboplatin,1,1,False,False,False,False,pemetrexed,pemetrexed plus carboplatin,1,1
449,1972,1973,NCT00130780,Multimodality Treatment for Patients With Resectable Non-Small Cell Lung Cancer (NSCLC) - BEACON Study: Bevacizumab and Chemotherapy for Operable NSCLC,,Completed,Has Results,"Carcinoma, Non-Small-Cell Lung",Drug: Pre-surgical Treatment with Bevacizumab plus Chemotherapy|Drug: Pre-Surgical Docetaxel and Cisplatin and Adjuvant Bevacizumab,The Primary Goal of This Study is to Show That the Addition of Bevacizumab to Cisplatin-based Chemotherapy in the Neoadjuvant Setting for Non-squamous Cell Carcinomas Improves Therapeutic Response/Outcome Assessment.,Memorial Sloan Kettering Cancer Center,All,"18 Years and older   (Adult, Older Adult)",Phase 2,71.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,05-052,August 2005,October 2012,October 2012,"August 16, 2005","January 25, 2016","January 25, 2016","Memorial Sloan Kettering Cancer Center, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00130780,2,pre-surgical treatment with bevacizumab plus chemotherapy,pre-surgical docetaxel and cisplatin and adjuvant bevacizumab,1,1,False,False,False,False,pre-surgical treatment with bevacizumab plus chemotherapy,pre-surgical docetaxel and cisplatin and adjuvant bevacizumab,1,1
464,2031,2032,NCT01951469,Gefitinib With or Without Pemetrexed/Cisplatin in Brain Metastases From Non-small Cell Lung Cancer,,Unknown status,No Results Available,Non-small Cell Lung Cancer|Brain Metastases|EGFR Mutation,Drug: Gefitinib and Pemetrexed/cisplatin|Drug: Gefitinib mono-therapy,comparing the difference of iPFS(intracranial progression free survival) in two arms|comparing the difference of Response rate(CR&PR) and in two arms,Sun Yat-sen University|Wu Jieping Medical Foundation,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,160.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NSCLC brain metastasis 01,June 2013,June 2018,June 2019,"September 26, 2013",,"October 26, 2017","Sun Yat-sen University of Cancer Center, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT01951469,2,gefitinib and pemetrexed/cisplatin,gefitinib mono-therapy,1,1,False,False,False,False,gefitinib and pemetrexed/cisplatin,gefitinib mono-therapy,1,1
470,2057,2058,NCT01951482,Pemetrexed/Cisplatin With or Without Bevacizumab in Brain Metastases From Non Squamous Non-small Cell Lung Cancer,,Recruiting,No Results Available,Non Squamous Non-small Cell Lung Cancer|Brain Metastases|Bevacizumab,Drug: Pemetrexed/cisplatin|Drug: Bevacizumab and Pemetrexed/cisplatin,Compare iPFS(intracranial progression free survival) in two arms|Response rate(CR&PR),Sun Yat-sen University,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,108.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NSCLC brain metastasis 02,June 2013,December 2019,June 2020,"September 26, 2013",,"October 26, 2017","Sun Yat-sen University of Cancer Center, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT01951482,2,pemetrexed/cisplatin,bevacizumab and pemetrexed/cisplatin,1,1,False,False,False,False,pemetrexed/cisplatin,bevacizumab and pemetrexed/cisplatin,1,1
497,2178,2179,NCT00600587,Induction Erlotinib Therapy in Stage III A (N2) Non-Small Cell Lung Cancer (NSCLC),,Completed,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: neoadjuvant erlotinib therapy|Drug: neoadjuvant gemcitabine/carboplatin therapy,Response to Neoadjuvant Erlotinib Therapy|disease free survival|overall survival|complete resection rate|Toxicity of Neoadjuvant Erlotinib Therapy and postoperative complications,Guangdong Provincial People's Hospital|GuangdongPPH,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CSLC-0702|tarceva-123456-1,September 2007,June 2013,June 2013,"January 25, 2008",,"June 25, 2013","Guangdong General Hospital, Guangzhou, Guangdong, China",,https://ClinicalTrials.gov/show/NCT00600587,2,neoadjuvant erlotinib therapy,neoadjuvant gemcitabine/carboplatin therapy,1,1,False,False,False,False,neoadjuvant erlotinib therapy,neoadjuvant gemcitabine/carboplatin therapy,1,1
