,index,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,arms,arm1,arm2,arm1_included,arm2_included,arm1_to_remove,arm2_to_remove,also_arm1_to_remove,also_arm2_to_remove,new_arm1,new_arm2,arm1_has_approved_drugs,arm2_has_approved_drugs,Included,Reason
487,2138,2139,NCT00406276,Phase I/II Trial of RAD001 Plus Docetaxel in Patients With Metastatic or Recurrent Non-Small Cell Lung Cancer,,Terminated,Has Results,Lung Cancer,Drug: RAD001|Drug: Docetaxel,"Number of Subjects Showing Partial Response and Stable Disease With the Combination of RAD001 and Docetaxel.|Time to Progression:Time Period (in Months) From Study Entry Until Disease Progression, Death, or Last Date of Contact.",Emory University,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,28,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1342-2004,6-Nov,10-Dec,13-Feb,4-Dec-06,28-May-12,23-Aug-13,"Emory University Winship Cancer Institute, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT00406276,2,rad001,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,afinitor,docetaxel,1,1,TRUE,
501,2196,2197,NCT02590003,Single Agent Versus Combination Chemotherapy to Treat High-risk Elderly With Non-small Cell Lung Cancer,,Terminated,Has Results,"Carcinoma, Non-small Cell Lung",Drug: Carboplatin|Drug: Nab-paclitaxel,Treatment Failure-free Survival|Overall Response Rate|Progression-free Survival|Overall Survival|Grade 3-5 Adverse Events|Symptom Assessment (Measured by FACT-L Symptom Assessment Scale),Yale University,All,71 Years and older   (Older Adult),Phase 2,3,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1403013529,15-Nov,16-Sep,16-Sep,28-Oct-15,28-Feb-18,28-Feb-18,"Yale Cancer Center, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT02590003,2,carboplatin,nab-paclitaxel,1,1,FALSE,FALSE,FALSE,FALSE,carboplatin,nab-paclitaxel,1,1,TRUE,
503,2206,2207,NCT02574598,MK-3475 in Combination With Docetaxel vs Docetaxel Alone in Non-Small Cell Lung Cancer Patients,,Enrolling by invitation,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: MK-3475|Drug: Docetaxel,Overall Response rate,Instituto Nacional de Cancerologia de Mexico,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 2,70,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,INCAN/014/033/ICI,16-Jun,19-Oct,20-Oct,14-Oct-15,,21-Dec-18,"National Cancer Institute of Mexico, Mexico city, Distrito Federal, Mexico",,https://ClinicalTrials.gov/show/NCT02574598,2,mk-3475,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,pembrolizumab,docetaxel,1,1,TRUE,
504,2210,2211,NCT02864394,Study of Pembrolizumab Versus Docetaxel in Participants Previously Treated for Non-Small Cell Lung Cancer (MK-3475-033),,"Active, not recruiting",No Results Available,"Carcinoma, Non-Small-Cell Lung",Biological: pembrolizumab 2 mg/kg|Drug: Docetaxel 75 mg/m^2,OS in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score 1 to 49%)|OS in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score ≥50%)|PFS per Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST 1.1) as Assessed by Blinded Independent Central Review (BICR) in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score 1 to 49%)|PFS per RECIST 1.1 as Assessed by BICR in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score ≥50%)|Duration of Response (DOR) per RECIST 1.1 as Assessed by BICR in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score 1 to 49%)|DOR per RECIST 1.1 as Assessed by BICR in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score ≥50%)|Objective Response Rate (ORR) per RECIST 1.1 as Assessed by BICR in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score 1 to 49%)|ORR per RECIST 1.1 as Assessed by BICR in Participants with Tumors that are Positive for PD-L1 Expression (Tumor Proportion Score ≥50%)|Number of Participants Who Experience an Adverse Event (AE)|Number of Participants Who Discontinue Study Drug Due to an AE,Merck Sharp & Dohme Corp.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,425,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,3475-033|MK-3475-033,7-Sep-16,9-Sep-19,14-Oct-20,12-Aug-16,,20-Sep-19,,,https://ClinicalTrials.gov/show/NCT02864394,2,pembrolizumab 2 mg/kg,docetaxel 75 mg/m^2,1,1,FALSE,FALSE,FALSE,FALSE,pembrolizumab,docetaxel,1,1,TRUE,
513,2253,2254,NCT02088112,MEDI4736 (Anti PD-L1) Combined With Gefitinib in Subjects With Non-Small Cell Lung Cancer(NSCLC).,,"Active, not recruiting",No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: Gefitinib|Drug: MEDI4736,"Escalation Phase: safety and tolerability: AEs, laboratory data, vital signs, ECG changes and Echo. Expansion Phase: safety and tolerability of the recommended dose for MEDI4736; AEs, laboratory data, vital signs, ECG changes and Echo.|To obtain a preliminary assessment of the anti-tumour activity of gefitinib in combination with MEDI4736 by evaluation of tumour response|To determine the immunogenicity of MEDI4736 in combination with gefitinib: anti-drug antibodies (ADAs)|To determine the pharmacokinetics of MEDI4736|To assess MEDI4736 pharmacodynamics in subjects receiving MEDI4736 in combination with gefitinib.|To determine overall survival (OS) in expansion Arm 1 and Arm 1a patients",MedImmune LLC|AstraZeneca,All,"18 Years to 130 Years   (Adult, Older Adult)",Phase 1,56,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,D791PC00001,24-Mar-14,31-Dec-21,31-Dec-21,14-Mar-14,,15-Oct-19,"Research Site, Tampa, Florida, United States|Research Site, Houston, Texas, United States|Research Site, Seattle, Washington, United States|Research Site, Chuo-ku, Japan|Research Site, Matsuyama-shi, Japan|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of",,https://ClinicalTrials.gov/show/NCT02088112,2,gefitinib,medi4736,1,1,FALSE,FALSE,FALSE,FALSE,gefitinib,durvalumab,1,1,TRUE,
516,2263,2264,NCT03810807,Study of Dacomitinib and Osimertinib for Patients With Advanced EGFR Mutant Lung Cancer,,Recruiting,No Results Available,Metastatic Non-small Cell Lung Cancer,Drug: Dacomitinib|Drug: Osimertinib,maximum tolerated dose|Best overall response rate,Memorial Sloan Kettering Cancer Center,All,"19 Years and older   (Adult, Older Adult)",Phase 1,34,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-411,17-Jan-19,21-Jan,21-Jan,21-Jan-19,,23-May-19,"Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memoral Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States",,https://ClinicalTrials.gov/show/NCT03810807,2,dacomitinib,osimertinib,1,1,FALSE,FALSE,FALSE,FALSE,dacomitinib,osimertinib,1,1,TRUE,
517,2271,2272,NCT01469000,A Study of Pemetrexed and Gefitinib Versus Gefitinib in Non-Small Cell Lung Cancer (NSCLC),,Completed,Has Results,"Carcinoma, Non Small Cell Lung",Drug: Gefitinib|Drug: Pemetrexed,"Progression Free Survival (PFS)|Time To Progressive Disease (TTPD)|Overall Survival (OS)|Percentage of Participants Achieving Complete Response (CR) or Partial Response (PR) (Overall Response Rate [ORR])|Percentage of Participants With CR, PR, and Stable Disease (SD) (Disease Control Rate [DCR])|Duration of Response (DoR)|Time to Worsening of Symptom (TWS) as Per Lung Cancer Symptom Scale (LCSS)",Eli Lilly and Company,All,"18 Years and older   (Adult, Older Adult)",Phase 2,195,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,14034|H3E-CR-JMIT,12-Feb,15-Apr,17-Nov,10-Nov-11,28-Apr-16,10-Sep-19,"For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Beijing, China|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Changchun, China|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Changsha, China|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Guang Zhou, China|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Sichuan, China|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Aichi, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Chiba, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Hyogo, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Kanagawa, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Okayama, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Osaka, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Shizuoka, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Tokyo, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Yamaguchi, Japan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Cheong Ju-City, Korea, Republic of|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Incheon, Korea, Republic of|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Seoul, Korea, Republic of|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Suwon-City, Korea, Republic of|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Jhonghe City, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Kaohsiung, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Keelung, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Kuei Shan Hsiang, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Niao Sung Hsiang, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Taichung, Taiwan|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Taipei, Taiwan",,https://ClinicalTrials.gov/show/NCT01469000,2,gefitinib,pemetrexed,1,1,FALSE,FALSE,FALSE,FALSE,gefitinib,pemetrexed,1,1,TRUE,
535,2337,2338,NCT02737501,ALTA-1L Study: A Phase 3 Study of Brigatinib Versus Crizotinib in Anaplastic Lymphoma Kinase (ALK)-Positive Advanced Non-small Cell Lung Cancer (NSCLC) Participants,ALTA-1L,"Active, not recruiting",No Results Available,Non-small Cell Lung Cancer|Lung Cancer|Advanced Malignancies|Carcinoma,Drug: Brigatinib|Drug: Crizotinib,Progression-free Survival (PFS)|Objective Response Rate (ORR)|Intracranial ORR|Intracranial PFS|Overall Survival (OS)|Duration of Response|Time to Response (TTR)|Disease Control Rate (DCR)|Health-related Quality of Life (HRQoL)|Percentage of Participants with Adverse Events,Ariad Pharmaceuticals|Takeda,All,"18 Years and older   (Adult, Older Adult)",Phase 3,275,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AP26113-13-301|U1111-1210-4363,26-May-16,31-Jul-20,31-Jul-20,14-Apr-16,,11-Apr-19,"USOR - Arizona Oncology Associates - Sedona, Sedona, Arizona, United States|Kaiser Permanente Bellflower Medical Offices, Bellflower, California, United States|University of Colorado Cancer Center, Aurora, Colorado, United States|Rocky Mountain Cancer Centers - Boulder, Boulder, Colorado, United States|Sylvester Comprehensive Cancer Center, Deerfield Beach, Florida, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|West Michigan Cancer Center, Kalamazoo, Michigan, United States|Minnesota Oncology, Coon Rapids, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Oncology Hematology Care - Blue Ash, Cincinnati, Ohio, United States|Stephenson Cancer Center, Oklahoma City, Oklahoma, United States|Virginia Cancer Specialists - Fairfax Office, Fairfax, Virginia, United States|Saint George Hospital, Kogarah, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia|Monash Medical Centre, East Bentleigh, Victoria, Australia|Saint Vincent's Hospital Melbourne, Fitzroy, Victoria, Australia|Universitatsklinium St. Polten, Sankt Polten, Lower Austria, Austria|Otto-Wagner-Spital Baumgartner Hohe, Vienna, Austria|Princess Margaret Cancer Centre, Toronto, Ontario, Canada|Odense University Hospital, Odense C, Denmark|Centre de Lutte Contre le Cancer Francois Baclesse, CAEN Cedex 5, Basse-normandie, France|Hopital Charles Nicolle, Rouen, Haute-normandie, France|Centre Hospitalier Intercommunal de Creteil, Creteil, Ile-de-france, France|Hopital Tenon, Paris, Ile-de-france, France|Centre Hospitalier Universitaire Hopital Nord, Marseille Cedex 20, Provence Alpes COTE D'azur, France|Hopital Albert Michallon, Grenoble Cedex 9, Rhone-alpes, France|Centre Leon Berard, Lyon, Rhone-alpes, France|Universitatsklinik Freiburg, Freiburg, Baden-wuerttemberg, Germany|Thoraxklinik Heidelberg gGmbH, Heidelberg, Baden-wuerttemberg, Germany|Pius Hospital Oldenburg, Oldenburg, Niedersachsen, Germany|Kliniken der Stadt Koeln gGmbH - Krankenhaus Merheim, Koln, Nordrhein-westfalen, Germany|Evangelische Lungenklinik Berlin, Berlin, Germany|Studiengesellschaft Haemato-Onkologie Hamburg Prof. Laack und Partner, Hamburg, Germany|Tuen Mun Hospital, Tuen Mun, New Territories, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|Queen Elizabeth Hospital, Kowloon, Hong Kong|Istituto Scientifico Romagnolo per lo Studio e la Cura dei Tumori, Meldola, Forli-cesena, Italy|Azienda Ospedaliera San Gerardo di Monza, Monza, Monza E Brianza, Italy|Centro di Riferimento Oncologico di Aviano, Aviano, Pordenone, Italy|Azienda Ospedaliera San Giuseppe Moscati, Avellino, Italy|Istituto Oncologico di Bari Giovanni Paolo II, Bari, Italy|Azienda Ospedaliero Universitaria di Bologna Policlinico Sant'Orsola-Malpighi, Bologna, Italy|Istituto Scientifico Universitario San Raffaele, Milano, Italy|Istituto Europeo di Oncologia, Milano, Italy|Istituto Tumori Napoli Fondazione G. Pascale, Napoli, Italy|Azienda Ospedaliero Universitaria Maggiore della Carita, Novara, Italy|Azienda Ospedaliera di Perugia - Ospedale S. Maria della Misericordia, Perugia, Italy|Azienda Unita Sanitaria Locale di Ravenna, Ravenna, Italy|Policlinico Universitario Campus Bio-Medico, Roma, Italy|Chungbuk National University Hospital, Cheongju, Chungcheongbuk-do, Korea, Republic of|National Cancer Center, Goyang-si, Gyeonggi-do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|The Catholic University of Korea, Seoul, Korea, Republic of|Centre Hospitalier de Luxembourg - Hopital Municipal, Luxembourg, Luxembourg|Amphia Ziekenhuis - Locatie Langendijk Breda, Breda, Noord-brabant, Netherlands|Antoni van Leeuwenhoekziekenhuis, Amsterdam, Noord-holland, Netherlands|Isala Klinieken, Zwolle, Overijssel, Netherlands|Universitair Medisch Centrum Groningen, Groningen, Netherlands|Radiumhospitalet, Oslo, Norway|National University Hospital, Singapore, Singapore|National Cancer Centre Singapore, Singapore, Singapore|OncoCare Cancer Centre, Singapore, Singapore|Hospital Universitario Central de Asturias, Oviedo, Asturias, Spain|Hospital Universitari Germans Trias i Pujol, Badalona, Barcelona, Spain|Hospital Universitario Puerta de Hierro - Majadahonda, Majadahonda, Madrid, Spain|Hospital General Universitario de Alicante, Alicante, Spain|Hospital Universitario Vall d'Hebron, Barcelona, Spain|Hospital Teresa Herrera - Materno Infantil, La Coruna, Spain|Hospital Ramon Y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Regional Universitario Carlos Haya Malaga Instituto de Neurociencias Clinicas, Malaga, Spain|Hospital Universitario Marques de Valdecilla, Santander, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Karolinska Universitetssjukhuset, Stockholm, Sweden|University Hospital Zurich, Zurich, Switzerland|National Cheng Kung University, Tainan, Taipei, Taiwan|China Medical University Hospital, Taichung, Taiwan|Taichung Veterans General Hospital, Taichung, Taiwan|National Taiwan University Hospital, Taipei, Taiwan|Taipei Veterans General Hospital, Taipei, Taiwan|Leicester Royal Infirmary, Leicester, England, United Kingdom|University College London, London, England, United Kingdom|Guy's and Saint Thomas' NHS Foundation Trust, London, England, United Kingdom|Royal Marsden NHS Trust, London, England, United Kingdom|Maidstone Hospital, Maidstone, England, United Kingdom|The Christie NHS Foundation Trust, Manchester, England, United Kingdom",,https://ClinicalTrials.gov/show/NCT02737501,2,brigatinib,crizotinib,1,1,FALSE,FALSE,FALSE,FALSE,brigatinib,crizotinib,1,1,TRUE,
538,2343,2344,NCT04120454,Ramucirumab and Pembrolizumab for the Treatment of EGFR Mutant Recurrent or Metastatic Non-small Cell Lung Cancer,,Not yet recruiting,No Results Available,Metastatic Lung Non-Small Cell Carcinoma|Recurrent Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,Biological: Pembrolizumab|Biological: Ramucirumab,Overall response rate|Incidence of adverse events|Clinical benefit rate (complete response + partial response + stable disease)|Progression-free survival|Overall survival,Ohio State University Comprehensive Cancer Center|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 2,34,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,OSU-19132|NCI-2019-05348|P30CA016058,1-Dec-19,31-Dec-21,31-Dec-21,9-Oct-19,,9-Oct-19,"Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT04120454,2,pembrolizumab,ramucirumab,1,1,FALSE,FALSE,FALSE,FALSE,pembrolizumab,ramucirumab,1,1,TRUE,
541,2347,2348,NCT00193414,Pemetrexed and Gemcitabine in Patients With Advanced Non-Small Cell Lung Cancer,,Completed,Has Results,Lung Cancer,Drug: Pemetrexed|Drug: Gemcitabine,Overall Response Rate|Progression-free Survival (PFS)|Overall Survival (OS),"SCRI Development Innovations, LLC|Eli Lilly and Company",All,"18 Years and older   (Adult, Older Adult)",Phase 2,74,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCRI LUN 91|H3E-US-X011,5-May,8-Dec,9-Aug,19-Sep-05,13-Nov-12,13-Nov-12,"Tennessee Oncology, Nashville, Tennessee, United States",,https://ClinicalTrials.gov/show/NCT00193414,2,pemetrexed,gemcitabine,1,1,FALSE,FALSE,FALSE,FALSE,pemetrexed,gemcitabine,1,1,TRUE,
544,2358,2359,NCT00367601,Erlotinib + Bevacizumab for PS 2 Chemotherapy Naïve Non-Small Cell Lung Cancer,,Completed,Has Results,Lung Cancer,Drug: Erlotinib|Drug: Bevacizumab,To Establish Rate of Non-progressive Disease at 4 Months in Patients With Advanced NSCLC Who Have Been Designated PS2 by Their Treating Physician|Time to Progression|Overall Survival,"Nasser Hanna, M.D.|Genentech, Inc.|Walther Cancer Institute|Hoosier Cancer Research Network",All,"18 Years and older   (Adult, Older Adult)",Phase 2,25,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HOG LUN04-77,6-Aug,8-Apr,8-Dec,23-Aug-06,11-Feb-16,11-Feb-16,"Medical & Surgical Specialists, LLC, Galesburg, Illinois, United States|Cancer Care Center of Southern Indiana, Bloomington, Indiana, United States|Oncology Hematology Associates of SW Indiana, Evansville, Indiana, United States|Fort Wayne Oncology & Hematology, Inc, Fort Wayne, Indiana, United States|Indiana University Cancer Center, Indianapolis, Indiana, United States|Quality Cancer Center (MCGOP), Indianapolis, Indiana, United States|Community Regional Cancer Center, Indianapolis, Indiana, United States|Arnett Cancer Care, Lafayette, Indiana, United States|Horizon Oncology Center, Lafayette, Indiana, United States|Medical Consultants, P.C., Muncie, Indiana, United States|Northern Indiana Cancer Research Consortium, South Bend, Indiana, United States|Methodist Cancer Center, Omaha, Nebraska, United States|Oncology Partners Network, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT00367601,2,erlotinib,bevacizumab,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,bevacizumab,1,1,TRUE,
548,2366,2367,NCT02036359,Erlotinib Monotherapy Versus Docetaxel and Cisplatin as Neoadjuvant Therapy in Patients of stageIIIA Lung ca,Oncology,Unknown status,No Results Available,Non-small Cell Lung Cancer(NSCLC),Drug: erlotinib|Drug: docetaxel,Number of Adverse Event,National Taiwan University Hospital,All,"18 Years and older   (Adult, Older Adult)",Phase 2,76,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,201203009MIB,12-May,15-Jun,,15-Jan-14,,15-Jan-14,"Department of Oncology, National Taiwan University Hospital, Taipei,, Taiwan",,https://ClinicalTrials.gov/show/NCT02036359,2,erlotinib,docetaxel,1,1,FALSE,FALSE,FALSE,FALSE,erlotinib,docetaxel,1,1,TRUE,
552,2377,2378,NCT00193310,"Preoperative or Postoperative Therapy of Patients With Stages IB, II, IIIA Non-Small Cell Lung Cancer",,Completed,No Results Available,Lung Cancer,Drug: Paclitaxel|Drug: Carboplatin,Overall response rates|Resectability rates|Survival|Time to progression|Toxicity,"SCRI Development Innovations, LLC|Bristol-Myers Squibb|Eli Lilly and Company",All,"18 Years and older   (Adult, Older Adult)",Phase 2,250,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCRI LUN 53,Nov-00,3-Nov,9-Jan,19-Sep-05,,18-Mar-15,,,https://ClinicalTrials.gov/show/NCT00193310,2,paclitaxel,carboplatin,1,1,FALSE,FALSE,FALSE,FALSE,paclitaxel,carboplatin,1,1,TRUE,
